Fecha,Dia,Commit,Persona,Archivos,Mensaje
2025-05-23,Sábado,1,Juan David,.gitignore .env.example package.json tsconfig.json nest-cli.json README.md,chore configuración inicial del proyecto NestJS
2025-05-23,Sábado,2,Juan David,docker/,feat docker agregar configuración Docker para desarrollo local
2025-05-23,Sábado,3,Juan David,src/main.ts src/app.module.ts src/app.controller.ts src/app.service.ts,feat core crear módulos de inicio de NestJS
2025-05-23,Sábado,4,Juan David,src/common/config/,feat config agregar módulo de configuración con validación de entorno
2025-05-23,Sábado,5,Juan David,src/common/constants/ src/common/decorators/,feat core agregar decoradores personalizados y constantes de seguridad
2025-05-23,Sábado,6,Juan David,src/common/guards/,feat guards implementar guards de autenticación y autorización
2025-05-23,Sábado,7,Ricardo Duran,.gitignore angular.json package.json tsconfig.json README.md,chore inicializar proyecto Angular 21 con soporte PWA
2025-05-23,Sábado,8,Ricardo Duran,src/index.html src/main.ts src/styles.scss,feat core configurar bootstrap de Angular y estilos globales
2025-05-23,Sábado,9,Ricardo Duran,src/app/app.config.ts src/app/app.routes.ts src/app/app.ts,feat core crear componente raíz y configuración de rutas
2025-05-23,Sábado,10,Ricardo Duran,src/environments/,feat config agregar archivos de configuración de entorno
2025-05-23,Sábado,11,Ricardo Duran,src/app/core/models/,feat core agregar modelos de datos core
2025-05-23,Sábado,12,Jhamil Alcides,src/properties/entities/,feat properties crear entidades de propiedades y relaciones
2025-05-23,Sábado,13,Jhamil Alcides,src/properties/entities/rental-owner.entity.ts properties.module.ts,feat properties agregar entidad de propietario y módulo
2025-05-23,Sábado,14,Jhamil Alcides,src/properties/dto/,feat properties agregar DTOs de propiedades con validación
2025-05-23,Sábado,15,Fabian Ledezma,src/maintenance/entities/,feat maintenance crear entidades de mantenimiento
2025-05-23,Sábado,16,Fabian Ledezma,src/maintenance/enums/ maintenance.types.ts maintenance.module.ts,feat maintenance agregar enumeraciones y definición de módulo
2025-05-23,Sábado,17,Fabian Ledezma,src/maintenance/dto/,feat maintenance agregar DTOs de mantenimiento
2025-05-24,Domingo,18,Juan David,src/auth/auth.module.ts src/auth/dto/,feat auth crear módulo de autenticación y DTOs
2025-05-24,Domingo,19,Juan David,src/auth/auth.service.ts auth-security.service.ts,feat auth implementar servicios de autenticación y seguridad
2025-05-24,Domingo,20,Juan David,src/auth/auth.controller.ts jwt.strategy.ts,feat auth agregar controller de autenticación y estrategia JWT
2025-05-24,Domingo,21,Juan David,src/auth/auth.service.spec.ts auth-security.service.spec.ts,test auth agregar tests unitarios completos para servicios de autenticación
2025-05-24,Domingo,22,Juan David,src/users/entities/user.entity.ts users.module.ts users.service.ts,feat users crear entidad de usuario y servicio
2025-05-24,Domingo,23,Ricardo Duran,src/app/core/services/api.service.ts api-http.service.ts,feat core crear capa de servicios API para comunicación HTTP
2025-05-24,Domingo,24,Ricardo Duran,src/app/core/services/auth.service.ts auth.guard.ts,feat auth implementar servicio de autenticación y guard
2025-05-24,Domingo,25,Ricardo Duran,src/app/core/interceptors/auth.interceptor.ts,feat core agregar interceptor HTTP para inyección de JWT
2025-05-24,Domingo,26,Ricardo Duran,src/app/core/models/user.model.ts format.service.ts,feat core agregar modelo de usuario y servicio de formateo
2025-05-24,Domingo,27,Fabian Ledezma,src/maintenance/maintenance.service.ts maintenance-creation.service.ts,feat maintenance implementar servicios de mantenimiento
2025-05-24,Domingo,28,Fabian Ledezma,src/maintenance/maintenance-update.service.ts maintenance-stage.service.ts,feat maintenance agregar servicios de actualización y gestión de etapas
2025-05-24,Domingo,29,Fabian Ledezma,src/maintenance/maintenance.controller.ts src/maintenance/dto/,feat maintenance agregar controller y DTOs de proveedores
2025-05-24,Domingo,30,Fabian Ledezma,src/maintenance/*.service.spec.ts,test maintenance agregar tests unitarios comprehensivos
2025-05-25,Lunes,31,Juan David,src/common/tenant/,feat multitenant implementar data source aware de tenants
2025-05-25,Lunes,32,Juan David,src/common/middleware/tenant-context.middleware.ts,feat multitenant agregar middleware de identificación de tenant
2025-05-25,Lunes,33,Juan David,src/common/interceptors/tenant-connection.interceptor.ts,feat multitenant agregar interceptor de conexión de tenant
